Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
Tennessee,47,000,00000,00000,00000,Tennessee
Tennessee,47,001,00000,00000,00000,Anderson County
Tennessee,47,003,00000,00000,00000,Bedford County
Tennessee,47,005,00000,00000,00000,Benton County
Tennessee,47,007,00000,00000,00000,Bledsoe County
Tennessee,47,009,00000,00000,00000,Blount County
Tennessee,47,011,00000,00000,00000,Bradley County
Tennessee,47,013,00000,00000,00000,Campbell County
Tennessee,47,015,00000,00000,00000,Cannon County
Tennessee,47,017,00000,00000,00000,Carroll County
Tennessee,47,019,00000,00000,00000,Carter County
Tennessee,47,021,00000,00000,00000,Cheatham County
Tennessee,47,023,00000,00000,00000,Chester County
Tennessee,47,025,00000,00000,00000,Claiborne County
Tennessee,47,027,00000,00000,00000,Clay County
Tennessee,47,029,00000,00000,00000,Cocke County
Tennessee,47,031,00000,00000,00000,Coffee County
Tennessee,47,033,00000,00000,00000,Crockett County
Tennessee,47,035,00000,00000,00000,Cumberland County
Tennessee,47,037,00000,00000,00000,Davidson County
Tennessee,47,039,00000,00000,00000,Decatur County
Tennessee,47,041,00000,00000,00000,DeKalb County
Tennessee,47,043,00000,00000,00000,Dickson County
Tennessee,47,045,00000,00000,00000,Dyer County
Tennessee,47,047,00000,00000,00000,Fayette County
Tennessee,47,049,00000,00000,00000,Fentress County
Tennessee,47,051,00000,00000,00000,Franklin County
Tennessee,47,053,00000,00000,00000,Gibson County
Tennessee,47,055,00000,00000,00000,Giles County
Tennessee,47,057,00000,00000,00000,Grainger County
Tennessee,47,059,00000,00000,00000,Greene County
Tennessee,47,061,00000,00000,00000,Grundy County
Tennessee,47,063,00000,00000,00000,Hamblen County
Tennessee,47,065,00000,00000,00000,Hamilton County
Tennessee,47,067,00000,00000,00000,Hancock County
Tennessee,47,069,00000,00000,00000,Hardeman County
Tennessee,47,071,00000,00000,00000,Hardin County
Tennessee,47,073,00000,00000,00000,Hawkins County
Tennessee,47,075,00000,00000,00000,Haywood County
